,,,,,,
State,CRD,YEAR,Harvested Acres,Planted Acres,Harvested Yield (bu/acre),Planted Yield (bu/acre)
IA,10,1951,1498300,1568100,39.5,37.7
IA,10,1952,1551700,1589500,61.5,60
IA,10,1953,1628200,1675200,55.1,53.6
IA,10,1954,1451400,1504800,59.7,57.6
IA,10,1955,1498100,1585700,46.3,43.7
IA,10,1956,1214400,1532600,45.8,36.3
IA,10,1957,1448900,1505500,58,55.8
IA,10,1958,1483900,1567100,53.5,50.7
IA,10,1959,1871400,1957900,58.3,55.7
IA,10,1960,1855700,1945700,64.8,61.8
IA,10,1961,1504900,1577600,73.6,70.2
IA,10,1962,1504900,1594900,74.4,70.2
IA,10,1963,1619700,1734800,71.5,66.8
IA,10,1964,1426100,1527800,74,69.1
IA,10,1965,1443900,1574400,71.9,65.9
IA,10,1966,1490300,1618800,85.1,78.3
IA,10,1967,1585100,1611255.563,80.9,79.6
IA,10,1968,1397000,1401388.857,86.3,86
IA,10,1969,1442000,1472177.342,103.7,101.6
IA,10,1970,1488700,1496529.644,73.8,73.4
IA,10,1971,1743000,1747221.672,98.2,98
IA,10,1972,1599000,1606309.714,116,115.5
IA,10,1973,1715700,1720290.624,110.1,109.8
IA,10,1974,1817000,1839682.242,75,74.1
IA,10,1975,1800000,1808977.556,87.6,87.2
IA,10,1976,1779000,1788458.192,73.1,72.7
IA,10,1977,1784000,1792084.592,103,102.5
IA,10,1978,1860000,1868303.571,119.5,119
IA,10,1979,1900000,1905604.72,123.9,123.5
IA,10,1980,1891000,1897533.564,116.8,116.4
IA,10,1981,1967600,1971306.893,125.1,124.9
IA,10,1982,1890000,1895667.166,117.9,117.5
IA,10,1983,1195000,1196877.455,86.5,86.4
IA,10,1984,1815800,1841054.252,107.9,106.4
IA,10,1985,1911800,1921719.809,129.8,129.1
IA,10,1986,1681000,1688850.555,135.3,134.7
IA,10,1987,1424000,1426920.027,129.4,129.1
IA,10,1988,1564000,1564966.028,100.7,100.6
IA,10,1989,1762000,1762975.637,131,130.9
IA,10,1990,1784000,1793737.991,127.2,126.5
IA,10,1991,1726000,1732829.847,121.8,121.3
IA,10,1992,1864000,1865959.012,146.8,146.6
IA,10,1993,1509000,1687608.445,82,73.3
IA,10,1994,1847000,1854801.478,153.9,153.3
IA,10,1995,1787000,1790897.492,128.5,128.2
IA,10,1996,1827000,1835778.964,142.1,141.4
IA,10,1997,1760000,1765821.389,138.7,138.2
IA,10,1998,1824000,1824978.016,153.1,153
IA,10,1999,1806000,1806976.744,163.3,163.2
IA,10,2000,1830000,1840753.205,145.3,144.5
IA,10,2001,1765000,1777711.911,143.4,142.4
IA,10,2002,1780000,1789647.696,157.3,156.5
IA,10,2003,1794000,1801654.4,163.4,162.7
IA,10,2004,1869000,1884566.892,186.8,185.3
IA,10,2005,1889000,1904587.416,182.6,181.1
IA,10,2006,1895000,1896940.604,157.4,157.2
IA,10,2007,2032000,2037791.924,164.2,163.7
IA,10,2008,1900000,1934260.69,184,180.7
IA,10,2009,1960000,1964863.524,193.9,193.4
IA,10,2010,1920000,1929746.193,184.7,183.8
IA,10,2011,2005000,2019599.515,177.7,176.4
IA,10,2012,1969000,1979038.602,154.8,154
IA,10,2013,1955000,1965358.863,178.6,177.7
IA,10,2014,1941000,1947657.031,175.3,174.7
IA,10,2015,1891000,1899711.696,202.5,201.6
IA,20,1951,1282000,1384800,43.3,40.1
IA,20,1952,1367700,1428600,63.9,61.2
IA,20,1953,1441300,1498300,56.1,54
IA,20,1954,1289100,1375400,61.4,57.5
IA,20,1955,1340200,1414200,51.3,48.6
IA,20,1956,1328300,1389100,62.8,60.1
IA,20,1957,1336400,1399400,62.5,59.7
IA,20,1958,1341300,1396000,67.2,64.6
IA,20,1959,1716700,1778500,66.8,64.5
IA,20,1960,1657400,1730100,62.5,59.9
IA,20,1961,1328600,1384900,75.7,72.6
IA,20,1962,1319900,1390000,74.9,71.1
IA,20,1963,1427500,1496300,80.1,76.4
IA,20,1964,1296600,1389000,77.4,72.3
IA,20,1965,1310000,1381500,82.7,78.4
IA,20,1966,1312600,1375200,95.9,91.5
IA,20,1967,1485200,1544377.065,94.1,90.5
IA,20,1968,1297000,1302966.758,103.4,102.9
IA,20,1969,1221000,1292184.5,102.8,97.1
IA,20,1970,1275500,1283099.133,100.5,99.9
IA,20,1971,1518000,1521382.353,106.7,106.5
IA,20,1972,1354000,1360760.342,117.6,117
IA,20,1973,1445800,1450044.409,109.7,109.4
IA,20,1974,1607000,1628933.489,88.7,87.5
IA,20,1975,1663000,1673555.684,95.4,94.8
IA,20,1976,1729000,1738568.345,93.1,92.6
IA,20,1977,1648000,1659511.059,102.4,101.7
IA,20,1978,1682000,1694552.239,121,120.1
IA,20,1979,1700000,1707753.706,130,129.4
IA,20,1980,1742000,1748827.548,125.3,124.8
IA,20,1981,1803900,1829191.066,133.5,131.7
IA,20,1982,1745000,1749879.754,127.2,126.8
IA,20,1983,1096000,1097944.987,101.5,101.3
IA,20,1984,1700900,1712742.39,115,114.2
IA,20,1985,1743500,1748934.542,133.5,133.1
IA,20,1986,1537700,1541663.144,145.2,144.8
IA,20,1987,1304000,1305966.817,137.9,137.7
IA,20,1988,1460000,1460986.486,105.9,105.8
IA,20,1989,1661000,1661984.588,124.8,124.7
IA,20,1990,1688000,1691937.026,136.2,135.9
IA,20,1991,1522000,1532850.292,116,115.2
IA,20,1992,1821000,1822978.273,151.8,151.6
IA,20,1993,1519000,1609613.855,70.9,66.9
