,,,,,,,,,,,,,,,
,ppt,Precip (mm/mon),,,,,,,,,,,,,
,tmean,Average Temp (degC/mon),,,,,,,,,,,,,
,tmax ,Max Temp (degC/mon),,,,,,,,,,,,,
,tmin,Min Temp (degC/mon),,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,"Months (1 = Jan,  2 = Feb, …)",,,,,,,,,,,
State,CRD,Met Var,YEAR,1,2,3,4,5,6,7,8,9,10,11,12
IA,10,ppt,1950,20.82,21.04,30.03,31.85,106.36,120.89,141.4,40.04,68.91,34.1,9.64,10.54
IA,10,ppt,1951,6.62,52.09,89.22,108.83,123.67,167.13,112.66,178.75,98.6,48.49,10.95,22.29
IA,10,ppt,1952,36.49,19.42,52.38,31.53,75.74,118.71,124.5,109.22,17.56,0,19.46,15.12
IA,10,ppt,1953,20.02,33.02,59.25,86.11,77.22,165.47,81.46,101.15,28.38,12.97,44.16,33.39
IA,10,ppt,1954,6.29,50,45.07,70.77,88.07,213.53,61.55,119.29,58.26,72.54,3.96,7.74
IA,10,ppt,1955,7.31,24.44,17.11,81.44,29.55,71.02,84.84,39.68,40.74,31.27,5.19,17.65
IA,10,ppt,1956,13.36,8.66,21.76,44.92,70.63,66.92,87.84,93.08,13.97,25.36,58.64,7.97
IA,10,ppt,1957,7.69,8.63,36.73,29.97,105.13,142.69,107.49,102.95,76.37,73.04,61.19,8.77
IA,10,ppt,1958,6.45,20.4,14.64,74.28,34.69,87.78,87.89,26.85,26.62,5.04,18.9,5.41
IA,10,ppt,1959,6.87,32.65,39.67,33.2,228.45,88.78,24.24,133.76,76.13,64.6,45.15,37.85
IA,10,ppt,1960,17.51,10.66,31.8,72.48,171.04,73.67,54.15,145.29,96.71,17.89,22.56,17.36
IA,10,ppt,1961,5.33,35.8,69.47,36.83,88.62,94.27,90.53,93.34,92.21,56.61,25.42,28.1
IA,10,ppt,1962,5.25,64.46,44.37,47.51,98.83,119.84,164.19,139.88,56.2,27.73,5.43,5.85
IA,10,ppt,1963,14.35,14.84,33.72,39.34,54.8,106.7,132.19,66.2,66.45,33.68,5.47,10.41
IA,10,ppt,1964,7.85,3.1,33.28,114.03,100.43,78.79,120.83,98.63,156.32,11.38,14.41,23.99
IA,10,ppt,1965,9.53,39.93,54.12,87.15,151.5,82.63,50.54,63.52,225.15,27.51,15.06,15.95
IA,10,ppt,1966,17.22,23.31,34.09,33.71,56.61,100.61,72.54,93.7,44.66,43.65,4.11,21.52
IA,10,ppt,1967,21.07,9.64,9.21,63.07,64.33,223.29,30.13,69.04,27.32,28.79,2.77,16.2
